vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle,is_teleported_vehicle
veh15499,26300.0,,608.0,True,False
truck3968,26305.0,,379.0,False,False
veh15509,26310.0,,15.0,False,False
veh15519,26320.0,,77.0,False,False
truck3973,26320.0,27190.0,385.0,True,False
veh15524,26325.0,,121.0,False,False
veh15529,26330.0,,137.0,False,False
bike3330,26330.0,26750.0,57.0,False,False
truck3978,26335.0,,2.0,False,False
veh15437,26340.0,26770.0,153.0,False,False
veh15539,26340.0,,203.0,False,False
veh15549,26350.0,,271.0,False,False
truck3983,26350.0,,29.0,False,False
veh15554,26355.0,,173.0,False,False
bike3337,26355.0,,15.0,False,False
veh15559,26360.0,,867.0,False,False
veh15564,26365.0,,830.0,False,False
truck3988,26365.0,,280.0,False,False
veh15569,26370.0,,281.0,False,False
veh15574,26375.0,,183.0,False,False
veh15579,26380.0,27115.0,250.0,False,False
truck3993,26380.0,27705.0,783.0,False,False
bike3344,26380.0,,231.0,False,False
veh15584,26385.0,,602.0,False,False
veh15589,26390.0,,408.0,True,False
veh15594,26395.0,,215.0,True,False
truck3998,26395.0,,29.0,False,False
veh15599,26400.0,26520.0,34.0,False,False
veh15604,26405.0,,122.0,False,False
veh15607,26410.0,,225.0,True,False
truck4003,26410.0,,405.0,False,False
veh15609,26410.0,,30.0,False,False
veh15614,26415.0,,209.0,False,False
veh15619,26420.0,,536.0,False,False
moto234,26425.0,,456.0,False,False
veh15624,26425.0,,72.0,False,False
truck4008,26425.0,27555.0,349.0,False,False
veh15629,26430.0,,71.0,False,False
veh15634,26435.0,,142.0,False,False
veh15639,26440.0,26745.0,112.0,False,False
truck4013,26440.0,,205.0,False,False
veh15649,26450.0,,43.0,False,False
veh15654,26455.0,,237.0,False,False
bike3365,26455.0,,99.0,False,False
veh15659,26460.0,,592.0,False,False
veh15664,26465.0,,0.0,False,False
veh15669,26470.0,,131.0,False,False
truck4023,26470.0,,81.0,False,False
veh15674,26475.0,,93.0,False,False
veh15679,26480.0,,101.0,True,False
bike3372,26480.0,,345.0,False,False
veh15683,26485.0,,466.0,True,False
veh15684,26485.0,,316.0,True,False
veh15689,26490.0,,508.0,True,False
bike3376,26495.0,,195.0,True,False
veh15699,26500.0,,221.0,False,False
truck4033,26500.0,,167.0,False,False
veh15709,26510.0,,189.0,False,False
veh15714,26515.0,26615.0,0.0,False,False
truck4038,26515.0,,648.0,False,False
veh15719,26520.0,,761.0,False,False
bike3383,26520.0,,126.0,False,False
veh15724,26525.0,26965.0,56.0,False,False
veh15729,26530.0,,533.0,True,False
truck4043,26530.0,,144.0,False,False
bike3386,26530.0,,35.0,False,False
veh15717,26535.0,,44.0,False,False
veh15734,26535.0,27815.0,629.0,True,False
veh15739,26540.0,28015.0,345.0,True,False
veh15744,26545.0,,120.0,False,False
truck4048,26545.0,,869.0,True,False
bike3390,26545.0,,80.0,False,False
veh15749,26550.0,,3.0,False,False
veh15754,26555.0,,152.0,False,False
veh15759,26560.0,,299.0,True,False
truck4053,26560.0,,698.0,False,False
veh15764,26565.0,,443.0,True,False
veh15769,26570.0,,659.0,False,False
bike3397,26570.0,,1.0,False,False
truck4058,26575.0,,208.0,False,False
veh15784,26585.0,,355.0,True,False
veh15789,26590.0,,43.0,False,False
truck4063,26590.0,,469.0,False,False
veh15794,26595.0,,84.0,False,False
bike3404,26595.0,,112.0,False,False
truck4068,26605.0,,144.0,False,False
moto239,26605.0,,802.0,False,False
veh15809,26610.0,,321.0,True,False
veh15814,26615.0,27390.0,162.0,False,False
veh15816,26620.0,,157.0,True,False
veh15824,26625.0,,257.0,True,False
veh15829,26630.0,,203.0,True,False
veh15834,26635.0,,478.0,True,False
truck4078,26640.0,,332.0,False,False
veh15839,26640.0,,73.0,True,False
veh15844,26645.0,26900.0,47.0,False,False
veh15849,26650.0,27590.0,503.0,True,False
truck4083,26650.0,,624.0,False,False
veh15854,26655.0,,281.0,True,False
veh15859,26660.0,,620.0,False,False
veh15864,26665.0,,58.0,True,False
truck4088,26665.0,,1.0,False,False
veh15869,26670.0,,756.0,False,False
bike3425,26670.0,,133.0,False,False
veh15874,26675.0,,49.0,False,False
veh15879,26680.0,,808.0,False,False
truck4093,26680.0,,167.0,False,False
bike3375,26685.0,27525.0,114.0,False,False
veh15884,26685.0,,308.0,True,False
veh15887,26690.0,28785.0,871.0,False,False
veh15889,26690.0,,35.0,False,False
veh15894,26695.0,,870.0,False,False
truck4098,26695.0,,692.0,False,False
bike3432,26695.0,,2.0,False,False
veh15899,26700.0,,157.0,False,False
veh15904,26705.0,,164.0,False,False
veh15909,26710.0,27750.0,536.0,False,False
truck4103,26710.0,,391.0,True,False
veh15914,26715.0,,734.0,False,False
veh15919,26720.0,,474.0,True,False
bike3439,26720.0,27310.0,89.0,False,False
veh15924,26725.0,,715.0,False,False
truck4108,26725.0,,103.0,False,False
veh15929,26730.0,,111.0,False,False
veh15934,26735.0,,170.0,False,False
truck4113,26740.0,,43.0,False,False
veh15944,26745.0,27255.0,148.0,False,False
bike3446,26745.0,,58.0,False,False
veh15949,26750.0,28230.0,836.0,False,False
veh15954,26755.0,,675.0,False,False
truck4118,26755.0,,63.0,False,False
veh15959,26760.0,,59.0,False,False
bike3450,26760.0,,150.0,False,False
veh15964,26765.0,,370.0,True,False
veh15969,26770.0,,51.0,False,False
truck4123,26770.0,,115.0,False,False
veh15974,26775.0,,173.0,False,False
veh15984,26785.0,,275.0,False,False
truck4128,26785.0,,0.0,False,False
moto244,26785.0,,294.0,True,False
veh15989,26790.0,,24.0,False,False
veh15999,26800.0,,426.0,True,False
truck4133,26800.0,26905.0,0.0,False,False
veh16004,26805.0,,675.0,False,False
veh16009,26810.0,,275.0,False,False
bike3464,26810.0,,881.0,False,False
veh16014,26815.0,,55.0,True,False
veh16029,26830.0,27225.0,100.0,False,False
truck4143,26830.0,,88.0,False,False
veh16034,26835.0,,128.0,False,False
bike3471,26835.0,,101.0,False,False
bike3472,26840.0,,0.0,False,False
veh16039,26840.0,,120.0,False,False
truck4148,26845.0,,518.0,True,False
veh16049,26850.0,,23.0,False,False
veh16054,26855.0,,128.0,False,False
veh16059,26860.0,,2.0,False,False
bike3478,26860.0,,4.0,False,False
veh16064,26865.0,,649.0,True,False
veh16069,26870.0,27880.0,447.0,True,False
veh16074,26875.0,,570.0,True,False
truck4158,26875.0,27545.0,152.0,False,False
veh16079,26880.0,,104.0,False,False
truck4161,26885.0,,625.0,False,False
veh16084,26885.0,,95.0,False,False
bike3485,26885.0,,20.0,True,False
veh16089,26890.0,,16.0,False,False
truck4163,26890.0,27205.0,24.0,False,False
veh16097,26900.0,,339.0,False,False
veh16099,26900.0,,169.0,False,False
veh16104,26905.0,,71.0,False,False
truck4168,26905.0,,251.0,True,False
veh16119,26920.0,,248.0,False,False
truck4173,26920.0,,72.0,True,False
veh16124,26925.0,,0.0,False,False
veh16129,26930.0,,403.0,True,False
veh16131,26935.0,,0.0,False,False
truck4178,26935.0,,165.0,False,False
bike3499,26935.0,,555.0,False,False
veh16139,26940.0,,166.0,True,False
veh16144,26945.0,,682.0,False,False
veh16149,26950.0,,92.0,False,False
truck4183,26950.0,27980.0,492.0,False,False
bike3503,26950.0,27165.0,0.0,False,False
veh16154,26955.0,,158.0,False,False
veh16159,26960.0,,38.0,False,False
bike3506,26960.0,27925.0,267.0,False,False
veh16147,26965.0,,527.0,False,False
truck4188,26965.0,,0.0,False,False
moto249,26965.0,,119.0,False,False
veh16169,26970.0,,453.0,False,False
veh16174,26975.0,,202.0,True,False
bike3510,26975.0,,118.0,False,False
veh16179,26980.0,,816.0,False,False
truck4193,26980.0,,153.0,False,False
veh16184,26985.0,,575.0,False,False
bike3513,26985.0,,187.0,False,False
veh16189,26990.0,,436.0,False,False
veh16194,26995.0,27905.0,441.0,True,False
veh16199,27000.0,27550.0,271.0,False,False
veh16209,27010.0,27130.0,0.0,False,False
truck4203,27010.0,,459.0,True,False
bike3520,27010.0,,4.0,False,False
veh16214,27015.0,,67.0,False,False
veh16219,27020.0,,223.0,False,False
truck4207,27025.0,,255.0,False,False
