vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle
truck3868,26005.0,,82.0,False
veh15209,26010.0,,0.0,False
veh15214,26015.0,26845.0,193.0,False
veh15219,26020.0,,917.0,False
truck3873,26020.0,,334.0,False
veh15223,26025.0,,573.0,False
veh15224,26025.0,,244.0,False
bike3245,26025.0,,165.0,True
veh15234,26035.0,,500.0,False
truck3878,26035.0,,318.0,False
veh15239,26040.0,,419.0,False
bike3249,26040.0,,49.0,False
veh15244,26045.0,,52.0,False
veh15249,26050.0,,688.0,False
bike3252,26050.0,,95.0,False
veh15254,26055.0,,28.0,False
veh15259,26060.0,,358.0,False
veh15264,26065.0,26165.0,45.0,False
bike3256,26065.0,,1.0,False
moto224,26065.0,26630.0,103.0,False
veh15269,26070.0,,742.0,False
veh15274,26075.0,,97.0,False
veh15279,26080.0,26470.0,87.0,False
truck3893,26080.0,,3.0,False
veh15284,26085.0,,82.0,False
veh15294,26095.0,26610.0,154.0,False
veh15299,26100.0,,473.0,False
veh15304,26105.0,28140.0,448.0,True
veh15314,26115.0,26385.0,101.0,False
bike3270,26115.0,26935.0,1.0,False
veh15319,26120.0,,21.0,False
veh15324,26125.0,,145.0,False
veh15329,26130.0,26950.0,180.0,False
veh15334,26135.0,26630.0,60.0,True
veh15339,26140.0,,303.0,False
truck3913,26140.0,,73.0,False
bike3277,26140.0,,37.0,False
veh15344,26145.0,,269.0,False
veh15349,26150.0,,0.0,False
veh15354,26155.0,,670.0,False
truck3918,26155.0,,480.0,False
veh15359,26160.0,,0.0,False
veh15364,26165.0,,259.0,False
bike3284,26165.0,27155.0,52.0,False
truck3923,26170.0,,261.0,False
veh15374,26175.0,,321.0,False
veh15379,26180.0,,37.0,False
veh15375,26185.0,27000.0,481.0,False
veh15384,26185.0,,77.0,False
truck3928,26185.0,,167.0,False
bike3291,26190.0,,364.0,False
veh15394,26195.0,,224.0,False
veh15399,26200.0,,345.0,False
truck3933,26200.0,,19.0,False
veh15404,26205.0,,223.0,False
veh15409,26210.0,,575.0,False
veh15414,26215.0,,805.0,False
truck3938,26215.0,27330.0,479.0,False
bike3298,26215.0,26950.0,140.0,False
veh15385,26220.0,,663.0,False
veh15419,26220.0,,69.0,False
veh15424,26225.0,,241.0,False
veh15429,26230.0,27120.0,346.0,False
truck3943,26230.0,26740.0,76.0,False
bike3302,26230.0,,28.0,False
veh15434,26235.0,,392.0,False
veh15439,26240.0,,114.0,False
bike3305,26240.0,,215.0,False
veh15444,26245.0,,224.0,False
truck3948,26245.0,,144.0,False
moto229,26245.0,,11.0,False
veh15447,26250.0,,84.0,False
veh15449,26250.0,,716.0,False
veh15454,26255.0,,901.0,False
bike3309,26255.0,,119.0,False
veh15459,26260.0,,271.0,False
truck3953,26260.0,,74.0,False
veh15464,26265.0,,170.0,False
bike3312,26265.0,,951.0,True
veh15469,26270.0,,178.0,False
truck3958,26275.0,,240.0,False
veh15479,26280.0,,80.0,False
veh15484,26285.0,,771.0,False
veh15489,26290.0,26490.0,7.0,False
truck3963,26290.0,,966.0,False
bike3319,26290.0,26595.0,42.0,False
veh15492,26295.0,,49.0,False
veh15494,26295.0,27235.0,305.0,False
veh15499,26300.0,,658.0,False
truck3968,26305.0,,578.0,False
veh15509,26310.0,,10.0,False
veh15519,26320.0,,59.0,False
truck3973,26320.0,27745.0,590.0,True
veh15524,26325.0,,74.0,False
veh15529,26330.0,,568.0,False
bike3330,26330.0,,93.0,False
truck3978,26335.0,,8.0,False
veh15539,26340.0,,340.0,False
veh15549,26350.0,,148.0,False
truck3983,26350.0,,18.0,False
veh15554,26355.0,27040.0,257.0,False
bike3337,26355.0,26585.0,10.0,False
veh15559,26360.0,28020.0,679.0,False
veh15564,26365.0,,735.0,False
truck3988,26365.0,,236.0,False
veh15569,26370.0,27955.0,710.0,False
veh15574,26375.0,,168.0,False
veh15579,26380.0,27290.0,376.0,False
truck3993,26380.0,28325.0,666.0,False
bike3344,26380.0,,11.0,False
veh15584,26385.0,27120.0,399.0,False
veh15589,26390.0,,561.0,False
veh15594,26395.0,,315.0,False
truck3998,26395.0,,78.0,False
veh15599,26400.0,,34.0,False
veh15604,26405.0,,43.0,False
truck4003,26410.0,,246.0,False
veh15609,26410.0,,312.0,False
veh15614,26415.0,27110.0,269.0,False
veh15619,26420.0,27275.0,381.0,False
moto234,26425.0,,335.0,False
veh15624,26425.0,26830.0,135.0,False
truck4008,26425.0,,382.0,False
veh15629,26430.0,,62.0,False
veh15634,26435.0,,138.0,False
veh15639,26440.0,,43.0,False
truck4013,26440.0,,392.0,False
veh15644,26445.0,,285.0,False
veh15649,26450.0,,28.0,False
veh15653,26455.0,,458.0,False
veh15654,26455.0,,166.0,False
truck4018,26455.0,,312.0,False
bike3365,26455.0,,46.0,False
veh15658,26460.0,27355.0,376.0,False
veh15659,26460.0,,591.0,False
veh15664,26465.0,,0.0,False
veh15669,26470.0,,123.0,False
truck4023,26470.0,,62.0,False
veh15674,26475.0,,60.0,False
veh15679,26480.0,,224.0,True
veh15684,26485.0,27520.0,459.0,False
truck4028,26485.0,,607.0,False
veh15689,26490.0,,588.0,True
veh15694,26495.0,,124.0,False
bike3376,26495.0,,306.0,True
veh15699,26500.0,27495.0,265.0,False
truck4033,26500.0,,140.0,False
veh15709,26510.0,,198.0,False
veh15714,26515.0,,0.0,False
truck4038,26515.0,,680.0,False
veh15719,26520.0,,782.0,False
bike3383,26520.0,27005.0,118.0,False
veh15724,26525.0,,6.0,False
veh15729,26530.0,,534.0,True
truck4043,26530.0,,171.0,False
bike3386,26530.0,,35.0,False
veh15734,26535.0,28550.0,783.0,False
veh15739,26540.0,,424.0,False
truck4048,26545.0,,667.0,False
bike3390,26545.0,,86.0,False
veh15749,26550.0,,1.0,False
veh15754,26555.0,,179.0,False
veh15759,26560.0,,635.0,True
truck4053,26560.0,,665.0,False
veh15764,26565.0,,433.0,False
veh15769,26570.0,27585.0,461.0,False
bike3397,26570.0,,0.0,False
truck4058,26575.0,,544.0,True
veh15779,26580.0,,345.0,False
veh15784,26585.0,,606.0,False
veh15789,26590.0,,37.0,False
truck4063,26590.0,,544.0,False
veh15794,26595.0,27015.0,197.0,False
bike3404,26595.0,,111.0,False
veh15799,26600.0,,261.0,False
truck4068,26605.0,,317.0,False
moto239,26605.0,,798.0,False
veh15809,26610.0,,390.0,False
veh15814,26615.0,27450.0,153.0,False
veh15824,26625.0,,311.0,True
veh15829,26630.0,27870.0,479.0,True
veh15834,26635.0,,411.0,False
veh15839,26640.0,,655.0,False
veh15844,26645.0,,118.0,False
veh15849,26650.0,,762.0,False
truck4083,26650.0,27315.0,244.0,False
veh15854,26655.0,,131.0,False
veh15859,26660.0,,115.0,False
veh15864,26665.0,,235.0,False
truck4088,26665.0,,333.0,False
veh15869,26670.0,,322.0,False
bike3425,26670.0,,29.0,False
veh15874,26675.0,,55.0,False
veh15878,26680.0,,318.0,False
veh15879,26680.0,,613.0,False
truck4093,26680.0,,102.0,False
veh15884,26685.0,27760.0,411.0,False
veh15889,26690.0,26890.0,32.0,False
veh15894,26695.0,,683.0,False
truck4098,26695.0,,664.0,False
bike3432,26695.0,,2.0,False
veh15899,26700.0,,161.0,False
veh15904,26705.0,,288.0,False
veh15909,26710.0,,429.0,False
truck4103,26710.0,,347.0,False
veh15914,26715.0,28050.0,638.0,False
veh15919,26720.0,,414.0,False
veh15924,26725.0,,314.0,False
truck4108,26725.0,,198.0,False
veh15929,26730.0,,430.0,False
veh15934,26735.0,,107.0,False
bike3443,26735.0,,488.0,False
truck4113,26740.0,27180.0,119.0,False
veh15944,26745.0,,153.0,False
bike3446,26745.0,,265.0,False
veh15949,26750.0,,743.0,False
veh15954,26755.0,,393.0,False
truck4118,26755.0,,34.0,False
veh15959,26760.0,,48.0,False
bike3450,26760.0,27415.0,150.0,False
veh15962,26765.0,,182.0,False
veh15964,26765.0,,357.0,False
veh15969,26770.0,27220.0,58.0,False
truck4123,26770.0,,167.0,False
veh15974,26775.0,,134.0,False
veh15984,26785.0,27520.0,170.0,False
truck4128,26785.0,,0.0,False
moto244,26785.0,28130.0,323.0,False
veh15989,26790.0,,4.0,False
veh15940,26800.0,,111.0,False
veh15999,26800.0,28070.0,403.0,False
truck4133,26800.0,,2.0,False
veh16004,26805.0,,615.0,False
veh16009,26810.0,27620.0,397.0,False
bike3464,26810.0,,774.0,False
veh16014,26815.0,,288.0,False
veh16029,26830.0,,137.0,False
truck4143,26830.0,,91.0,False
veh15979,26835.0,,133.0,False
veh16034,26835.0,,310.0,False
bike3471,26835.0,,96.0,False
veh16039,26840.0,,116.0,False
veh15885,26845.0,,124.0,False
truck4148,26845.0,,406.0,False
veh16049,26850.0,27395.0,189.0,False
veh16054,26855.0,,38.0,False
veh16059,26860.0,27080.0,0.0,False
bike3478,26860.0,27140.0,1.0,False
veh16064,26865.0,,567.0,False
veh16069,26870.0,28080.0,450.0,False
veh16074,26875.0,27895.0,528.0,False
truck4158,26875.0,,435.0,False
veh16079,26880.0,,59.0,False
veh16084,26885.0,,215.0,False
bike3485,26885.0,,34.0,False
veh16089,26890.0,,106.0,False
truck4163,26890.0,,349.0,False
veh16099,26900.0,,548.0,False
veh16104,26905.0,,190.0,False
truck4168,26905.0,,338.0,False
veh16114,26915.0,,134.0,False
veh16119,26920.0,27895.0,409.0,False
truck4173,26920.0,27330.0,85.0,True
veh16124,26925.0,,8.0,False
veh16129,26930.0,28910.0,383.0,False
truck4178,26935.0,,264.0,False
bike3499,26935.0,,193.0,False
veh16139,26940.0,28055.0,681.0,False
veh16144,26945.0,28115.0,493.0,False
veh16149,26950.0,,51.0,False
truck4183,26950.0,27890.0,377.0,False
bike3503,26950.0,,3.0,False
veh16154,26955.0,,597.0,False
veh16159,26960.0,,54.0,False
bike3506,26960.0,,213.0,False
veh16164,26965.0,,568.0,False
moto249,26965.0,,105.0,False
veh16169,26970.0,,247.0,False
veh16174,26975.0,,111.0,False
bike3510,26975.0,28155.0,273.0,False
veh16179,26980.0,,810.0,False
truck4193,26980.0,,75.0,False
veh16184,26985.0,,393.0,False
bike3513,26985.0,28200.0,238.0,False
veh16189,26990.0,,747.0,False
veh16194,26995.0,28615.0,782.0,True
veh16199,27000.0,,201.0,False
60-3-1060-25740.0,27010.0,,647.0,True
veh16209,27010.0,27140.0,2.0,False
truck4203,27010.0,,532.0,False
bike3520,27010.0,,26.0,False
veh16214,27015.0,,21.0,False
veh16219,27020.0,27555.0,219.0,False
truck4208,27025.0,,182.0,False
bike3524,27025.0,,8.0,False
veh16229,27030.0,27755.0,158.0,False
veh16232,27035.0,,113.0,False
veh16234,27035.0,,356.0,False
veh16239,27040.0,,639.0,False
truck4213,27040.0,,509.0,False
veh16249,27050.0,,92.0,False
bike3531,27050.0,,34.0,False
veh16254,27055.0,,354.0,False
truck4218,27055.0,,199.0,False
veh16259,27060.0,27950.0,279.0,False
veh16264,27065.0,,0.0,False
truck4222,27070.0,,213.0,True
veh16269,27070.0,,357.0,False
truck4223,27070.0,28215.0,515.0,False
veh16274,27075.0,,424.0,False
veh16279,27080.0,,829.0,True
veh16284,27085.0,,62.0,False
truck4228,27085.0,,644.0,False
veh16294,27095.0,,142.0,False
veh16299,27100.0,,862.0,True
truck4233,27100.0,,136.0,False
bike3545,27100.0,27385.0,30.0,False
veh16304,27105.0,,559.0,False
veh16309,27110.0,,551.0,False
veh16314,27115.0,,508.0,False
bike3552,27125.0,,173.0,False
veh16329,27130.0,,243.0,False
veh16334,27135.0,,198.0,True
truck4246,27140.0,,25.0,False
veh16344,27145.0,28230.0,642.0,False
truck4248,27145.0,27335.0,15.0,False
moto254,27145.0,28400.0,653.0,False
bike3559,27150.0,,320.0,False
veh16354,27155.0,,516.0,False
truck4244,27160.0,,256.0,False
veh16359,27160.0,,26.0,False
veh16364,27165.0,28315.0,622.0,False
veh16369,27170.0,,7.0,False
bike3566,27175.0,,247.0,False
veh15744,27180.0,,213.0,False
veh16379,27180.0,,166.0,False
veh16384,27185.0,27745.0,158.0,False
veh16302,27190.0,,316.0,False
veh16389,27190.0,,594.0,False
truck4263,27190.0,27515.0,74.0,False
bike3570,27190.0,,47.0,False
veh16394,27195.0,,574.0,False
veh16399,27200.0,,187.0,False
veh16404,27205.0,,347.0,False
truck4268,27205.0,,88.0,False
veh16409,27210.0,28545.0,533.0,False
veh16414,27215.0,,0.0,False
